line_id,segment_id,km_start,km_end,corridor_area_m2,n_pixels,valid_fraction,ndvi_mean,ndvi_p90,veg_fraction,growth_fraction,risk_score,risk_class,rank
0,0_0020,5.0,5.25,17500.0,175,1.0,0.629,0.92,0.6286,0.9029,0.8175,high,1
0,0_0009,2.25,2.5,17500.0,170,1.0,0.6477,0.92,0.6176,0.6588,0.7276,high,2
0,0_0012,3.0,3.25,17500.0,176,1.0,0.5182,0.92,0.5341,0.5341,0.6506,high,3
0,0_0008,2.0,2.25,17500.0,168,1.0,0.5465,0.92,0.3512,0.7083,0.6384,high,4
0,0_0019,4.75,5.0,17500.0,175,1.0,0.3918,0.6115,0.2857,0.3029,0.3673,medium,5
0,0_0023,5.75,6.0,17500.0,175,1.0,0.3791,0.4913,0.0,0.5314,0.29,low,6
0,0_0021,5.25,5.5,17500.0,175,1.0,0.3353,0.6101,0.1314,0.1314,0.245,low,7
0,0_0015,3.75,4.0,17500.0,176,1.0,0.3581,0.5175,0.0114,0.3466,0.2393,low,8
0,0_0026,6.5,6.75,17500.0,175,1.0,0.3219,0.5154,0.0,0.1657,0.1706,low,9
0,0_0025,6.25,6.5,17500.0,174,1.0,0.2987,0.3101,0.0345,0.0517,0.0712,low,10
0,0_0016,4.0,4.25,17500.0,174,1.0,0.2889,0.3219,0.0,0.0,0.0435,low,11
0,0_0014,3.5,3.75,17500.0,175,1.0,0.2842,0.314,0.0,0.0057,0.0427,low,12
0,0_0031,7.75,8.0,17500.0,174,1.0,0.2898,0.3146,0.0,0.0,0.0409,low,13
0,0_0029,7.25,7.5,17500.0,173,1.0,0.2866,0.3141,0.0,0.0,0.0407,low,14
0,0_0001,0.25,0.5,17500.0,179,1.0,0.2821,0.306,0.0,0.0,0.0379,low,15
0,0_0027,6.75,7.0,17500.0,175,1.0,0.274,0.3049,0.0,0.0,0.0375,low,16
0,0_0032,8.0,8.159,11103.8,112,1.0,0.2839,0.3051,0.0,0.0,0.0375,low,17
0,0_0002,0.5,0.75,17500.0,172,1.0,0.2753,0.3032,0.0,0.0,0.0369,low,18
0,0_0007,1.75,2.0,17500.0,165,1.0,0.2742,0.3027,0.0,0.0,0.0367,low,19
0,0_0017,4.25,4.5,17500.0,174,1.0,0.2856,0.3028,0.0,0.0,0.0367,low,20
0,0_0030,7.5,7.75,17500.0,177,1.0,0.2798,0.3019,0.0,0.0,0.0364,low,21
0,0_0024,6.0,6.25,17500.0,176,1.0,0.2762,0.3015,0.0,0.0,0.0362,low,22
0,0_0028,7.0,7.25,17500.0,176,1.0,0.2792,0.3014,0.0,0.0,0.0362,low,23
0,0_0018,4.5,4.75,17500.0,177,1.0,0.2767,0.3012,0.0,0.0,0.0361,low,24
0,0_0022,5.5,5.75,17500.0,176,1.0,0.2776,0.3008,0.0,0.0,0.036,low,25
0,0_0011,2.75,3.0,17500.0,174,1.0,0.2743,0.2971,0.0,0.0,0.0347,low,26
0,0_0013,3.25,3.5,17500.0,176,1.0,0.2771,0.2971,0.0,0.0,0.0347,low,27
0,0_0010,2.5,2.75,17500.0,175,1.0,0.2716,0.2961,0.0,0.0,0.0343,low,28
0,0_0006,1.5,1.75,17500.0,168,1.0,0.2732,0.2955,0.0,0.0,0.0341,low,29
0,0_0000,0.0,0.25,17500.0,171,1.0,0.2739,0.2944,0.0,0.0,0.0337,low,30
0,0_0005,1.25,1.5,17500.0,168,1.0,0.275,0.2945,0.0,0.0,0.0337,low,31
0,0_0004,1.0,1.25,17500.0,171,1.0,0.2704,0.2933,0.0,0.0,0.0333,low,32
0,0_0003,0.75,1.0,17500.0,179,1.0,0.2711,0.2909,0.0,0.0,0.0325,low,33
